book_code,person_counter,role
106375,926,translator
20815,927,writer
20815,928,translator
29836,929,writer
29836,930,translator
26283,933,writer
26283,934,translator
57232,935,writer
57232,936,translator
70623,937,writer
70623,155,translator
73875,938,writer
104707,939,writer
104707,940,translator
25009,519,writer
113779,942,writer
113779,943,translator
113314,944,writer
91350,945,writer
12997,946,writer
12997,947,translator
89334,950,writer
89334,951,translator
99218,952,writer
32984,953,writer
32984,954,translator
50056,955,writer
52678,956,writer
111297,957,writer
111297,958,writer
115223,129,writer
115223,130,translator
83993,961,writer
83993,962,translator
121121,963,writer
121121,964,translator
93706,965,writer
93706,966,translator
95149,599,writer
85780,967,writer
98421,968,writer
98379,969,writer
33951,970,writer
101436,67,writer
58943,971,writer
64009,972,writer
64009,170,translator
64009,973,translator
36128,975,writer
36128,976,translator
36720,977,writer
36720,978,translator
24683,980,writer
24683,67,translator
24683,981,translator
33430,982,writer
33430,983,translator
43550,984,writer
62531,985,writer
120757,986,writer
93726,987,writer
20671,988,writer
2783,989,writer
2783,990,translator
2783,991,translator
73150,992,writer
73150,993,translator
108584,67,writer
94727,205,writer
26978,996,writer
48448,997,writer
48448,998,translator
23276,999,writer
61369,1000,writer
10847,1001,writer
10847,1002,translator
44312,322,writer
26842,1005,writer
26842,1006,translator
52110,1007,writer
110822,1008,writer
83847,1009,writer
120239,1010,writer
64659,1012,writer
64659,1013,translator
45218,1014,writer
45218,1015,translator
42861,489,writer
33134,1016,writer
33134,1017,translator
102641,1018,writer
61825,67,writer
61825,1019,translator
55011,1020,writer
55011,1021,translator
44128,1022,writer
110009,1023,writer
63326,1025,writer
63326,880,translator
76237,1026,writer
97706,155,writer
80306,1027,writer
55739,1028,writer
55739,1029,translator
100092,67,writer
100092,1031,writer
102886,1032,writer
102886,1033,translator
20031,1034,writer
91582,1036,writer
91582,1037,translator
108351,1038,writer
34822,1039,writer
101684,1040,writer
101684,1041,translator
114819,1042,writer
93567,1045,translator
30393,1046,writer
90367,125,writer
6935,51,writer
97560,1047,writer
120275,1048,writer
40832,1052,writer
40832,1053,translator
105220,1054,writer
105220,1055,translator
107304,1056,writer
107304,1057,translator
16329,1061,writer
16329,1062,writer
106265,597,writer
117863,1063,writer
49039,1064,writer
37736,1065,writer
37736,1066,writer
92763,407,writer
92763,1067,translator
27736,1068,writer
27736,1069,translator
57556,1070,writer
57556,1071,translator
37155,1072,writer
98559,1073,writer
71569,1076,writer
59531,1080,writer
74513,476,writer
74513,1082,translator
53788,1083,writer
53788,1084,translator
8221,1085,writer
55066,1088,writer
55066,1089,translator
