code,title_persian,title_english,price,discount,grade,code,shabak,page_count,release_year_sh,release_year_mi,exist,earliest_access,print_series,ghate,cover
44210,دیشب آواز خواندم, Last Night I Sang to the Monster,93750,25,3.16,44210,978-6008537499,274,1398,2009,True,1402-07-06,6,جیبی,شومیز
96380,ماجراهای مزرعه آفتاب مهتاب, Adventures of Aftab Moonlight Farm,70000,30,3.82,96380,978-9641223443,72,1401,,True,1402-07-10,1,خشتی,شومیز
121045,اندوه نارس, untimely grief,72000,20,3.27,121045,978-6227827354,88,1402,,True,1402-07-10,1,رقعی,شومیز
41874,فرهنگ جامع فرق اسلامی (جلد سوم), Feraq-e Eslami,36000,10,3.45,41874,‭978-9644238215‮‬‬,436,1393,,True,1402-07-06,4,وزیری,زرکوب
76195,کت کیدستون, The Cath Kidston Colouring Book,71250,25,3.18,76195,978-6002851765,96,1396,2016,True,1402-07-10,1,خشتی,شومیز
45930,چه کسانی در سر تو زندگی می کنند؟, Who's Been Living in Your Head?,26250,25,3.02,45930,978-9642842278,88,1399,2006,True,1402-07-10,4,رقعی,شومیز
116710,چای خانه کوچکی در توکیو, The little teashop in Tokyo,128000,20,3.65,116710,‫‭978-6225667303,296,1402,2020,True,1402-07-06,1,رقعی,شومیز
88603,می می نرفت تولد, Mi mi & mo mo,28000,20,3.15,88603,978-6007825280,24,1401,,True,1402-07-10,2,خشتی,شومیز
9228,چیزی درون آب, Something in the Water,92400,30,3.62,9228,978-964-374-882-1,418,1398,2018,True,1402-07-06,1,رقعی,شومیز
66028,از فرق سر تا نوک پا, From Head to Toe,41250,25,3.18,66028,978-6227385175,32,1401,1997,True,1402-07-08,1,رحلی,شومیز
46564,فرق بین روح و نفس, The difference between soul and spirit,120000,20,3.03,46564,978-6003390287,144,1398,,True,1402-07-08,2,رقعی,زرکوب
29609,زنی که در قسمت اشیای گمشده پیدا شد, Zani ke dar Ghesmate Ashya-e Gomshodeh Peyda Shod,13875,25,3.69,29609,978-9641914020,174,1397,,True,1402-07-10,2,رقعی,شومیز
3592,مدیریت بدون زور و اجبار, The control theory manager,107100,15,3.88,3592,9786009231317,184,1401,1994,True,1402-07-06,7,رقعی,شومیز
86871,مدیریت بدون زور و اجبار, The Control Theory Manager,71250,25,3.04,86871,978-9649627434,194,1396,1994,True,1402-07-10,4,رقعی,شومیز
43275,ارتباط موثر, The control theory manager,25000,,3.6,43275,978-9648310269,112,1393,1994,False,,4,رقعی,شومیز
97483,هوش مصنوعی, Introducing Artificial Intelligence,28000,20,3.33,97483,978-6229648803,184,1399,2007,True,1402-07-06,1,جیبی,شومیز
49957,هوش مصنوعی, Introducing Artificial Intelligence,45000,25,3.75,49957,978-6005711646,176,1391,2007,True,1402-07-08,1,رقعی,شومیز
22088,درآمدی تصویری بر هوش مصنوعی, Introducing Artificial Intelligence,28500,,3.5,22088,978-6004055277,178,1398,2007,False,,1,رقعی,شومیز
96525,مدل سازی محیط زیست, Modeling the Environment,38700,10,3.31,96525,978-9643863777,543,1397,1999,True,1402-07-08,1,رقعی,شومیز
111932,504 واژه و اصطلاح روزمره انگلیسی, 504 Words,52500,30,3.07,111932,978-6007435519,192,1394,,True,1402-07-08,1,جیبی,شومیز
100613,اخلاق آکوئیناس, Aquinas's Ethics,66750,25,3.72,100613,978-6227887013,136,1401,2020,True,1402-07-08,1,رقعی,شومیز
14848,رستم در قرن 22, Rostam at 22nd century,59500,30,3.67,14848,978-6009692040,160,1396,2017,True,1402-07-06,2,رقعی,شومیز
116540,رقص تاک, Vine Dance,71200,20,3.19,116540,978-6225460300,124,1402,,True,1402-07-10,1,رقعی,شومیز
67363,فناوری تولید و کاربرد صفحات فشرده چوبی, Production technology and application of compressed wood panels,144000,10,3.73,67363,978-9640355428,716,1391,,True,1402-07-06,3,رقعی,شومیز
45642,ریموند چندلر, Raymond Chandler: The Detections of Totality,21250,15,3.25,45642,978-6226654418,128,1399,2014,True,1402-07-08,1,رقعی,شومیز
40451,50 تمرین عملی برای بهبود مهارت های ارتباطی," 50 Communications Activities, Icebreakers, And Exercises",101500,30,3.37,40451,978-6226026642,180,1399,2008,True,1402-07-08,1,رقعی,شومیز
86519,هندی در سفر, Indian on trip,124000,20,3.03,86519,978-9646255296,200,1399,,True,1402-07-10,5,رقعی,شومیز
49760,بازاریابی در شبکه های اجتماعی, Social Media Marketing,262500,30,3.69,49760,978-9642248155,416,1402,2012,True,1402-07-06,4,وزیری,شومیز
1038,سرخ و سیاه, The Red and the Black,352750,15,3.87,1038,978-964-305-964-4,628,1402,1830,True,1402-07-06,14,رقعی,شومیز
35375,سرخ و سیاه, The Red and the Black,327250,15,3.99,35375,978-9644481239,702,1402,1830,True,1402-07-09,12,رقعی,جلدسخت
7549,لی اوت, Layout,17500,30,3.54,7549,9789643515812,152,1388,1977,True,1402-07-10,1,رحلی,شومیز
8428,ماهیت روان درمانی, Allgemeine Psychopathologie,27200,20,2.75,8428,9786002296955,94,1400,1913,True,1402-07-08,3,رقعی,شومیز
76800,خانواده درمانی, Family Therapy,41250,25,3.36,76800,978-9649922690,72,1389,,True,1402-07-10,1,رقعی,شومیز
83320,تاریخ خلافت مدرن, History of the modern caliphate,144000,20,3.21,83320,978-6007364390,226,1398,,True,1402-07-08,2,رقعی,شومیز
93972,یک بچه نخستین باهوش نه، خیلی خیلی باهوش, Yek Bache Nokhostin Bahoosh...,56250,25,3.16,93972,978-6006715971,286,1397,,True,1402-07-08,1,رقعی,شومیز
97925,اقتصاد کلان پیشرفته با رویکرد اسلامی, Advanced macroeconomics: an Islamic ‭approach,34200,10,3.36,97925,978-6000207274,367,1398,,True,1402-07-09,1,رقعی,شومیز
116855,نقش و رنگ, Pattern and color,79200,20,3.8,116855,978-6222620899,63,1402,,True,1402-07-10,1,خشتی,شومیز
39945,ادبیات نزد افلاطون, Literature with Plato,75000,25,3.9,39945,978-6226630832,204,1399,,True,1402-07-10,1,رقعی,شومیز
114647,مشاهیر کتابشناسی معاصر ایران (24), Iranian contemporary bibliographic celebrities,3750,25,3.64,114647,978-6002223241,48,1394,,True,1402-07-08,1,پالتویی,شومیز
47876,دودمان بلوط, oak dynasty,71250,25,3.19,47876,978-6008209997,732,1400,2021,True,1402-07-10,6,جیبی,شومیز
